Return Order No,Cust Return Created Date,JioCode,SELLER_SKU,EAN,Category,Brand,Return QTY,Return Value,Return Reason,Return Sub reason,Return type,Listing Name,Image URL
RT102030065,Fri Mar 10 10:20:36 IST 2023,4.65631E+11,LWHK2207,8.90574E+12,Men-Backpacks,LEATHER WORLD,1,581,Defective/Damage Product received,Received damaged,RVP,Typographic Print Hiking Back Pack,https://assets.ajio.com/medias/sys_master/root/20230120/5Jhx/63c9af66aeb269c651ec6d76/-465631157-black-MODEL.jpg
RT101999651,Fri Mar 10 09:36:05 IST 2023,4.6233E+11,LWDB16174014,8.90537E+12,Men-Travel Bags,LEATHER WORLD,1,1123,Others,Others,RVP,Colourblock Travel Bag,https://assets.ajio.com/medias/sys_master/root/20220530/nSlc/6294aca8f997dd03e245b907/-462329704-blue-MODEL.jpg
RT101971972,Fri Mar 10 02:09:11 IST 2023,4.65631E+11,LWHK2207,8.90574E+12,Men-Backpacks,LEATHER WORLD,1,581,Did not like the product,Does not look good on me,RVP,Typographic Print Hiking Back Pack,https://assets.ajio.com/medias/sys_master/root/20230120/5Jhx/63c9af66aeb269c651ec6d76/-465631157-black-MODEL.jpg
RT101986584,Fri Mar 10 00:43:56 IST 2023,4.62314E+11,LWOB16171149,8.90537E+12,Men-Laptop Bags,LEATHER WORLD,1,825,Did not like the product,Not happy with product quality,RVP,Textured Laptop Bag with Detachable Strap,https://assets.ajio.com/medias/sys_master/root/20220530/ZlI3/6294ac41aeb26921aff33a05/-462314346-brown-MODEL.jpg
RT101981015,Thu Mar 09 21:42:26 IST 2023,4.65631E+11,LWHK2207,8.90574E+12,Men-Backpacks,LEATHER WORLD,1,581,Did not like the product,Not happy with product quality,RVP,Typographic Print Hiking Back Pack,https://assets.ajio.com/medias/sys_master/root/20230120/5Jhx/63c9af66aeb269c651ec6d76/-465631157-black-MODEL.jpg
RT101955716,Thu Mar 09 21:17:33 IST 2023,4.62314E+11,LWOB16171124,8.90537E+12,Men-Laptop Bags,LEATHER WORLD,1,1183,Did not like the product,Not happy with product quality,RVP,Textured Laptop Bag with Detachable Strap,https://assets.ajio.com/medias/sys_master/root/20220530/7GGs/6294ac0ff997dd03e245a445/-462314114-brown-MODEL.jpg
RT101952086,Thu Mar 09 19:32:33 IST 2023,4.6252E+11,LWBP20213016,8.90537E+12,Men-Fashion Bags,FLY FASHION,1,475,Size/Colour Issue,Size is smaller than expected,RVP,Classic Sling Bag with Zip Closure,https://assets.ajio.com/medias/sys_master/root/20220530/HXVI/6294ac88f997dd03e245b4d7/-462519756-black-MODEL.jpg
RT101932334,Thu Mar 09 18:58:16 IST 2023,4.62309E+11,LWDB16174096,8.90537E+12,Men-Travel Bags,LEATHER WORLD,1,1123,Did not like the product,Not happy with product quality,RVP,Travel Bag with Detachable Strap,https://assets.ajio.com/medias/sys_master/root/20220530/2DMV/6294ac00aeb26921aff3309c/-462308805-blue-MODEL.jpg
RT101918597,Thu Mar 09 18:28:45 IST 2023,4.62314E+11,LWOB16171149,8.90537E+12,Men-Laptop Bags,LEATHER WORLD,1,825,Did not like the product,Does not look good on me,RVP,Textured Laptop Bag with Detachable Strap,https://assets.ajio.com/medias/sys_master/root/20220530/ZlI3/6294ac41aeb26921aff33a05/-462314346-brown-MODEL.jpg
RT101930023,Thu Mar 09 17:41:48 IST 2023,4.62364E+11,LWDB19204061,8.90537E+12,Men-Travel Bags,LEATHER WORLD,1,1145,Did not like the product,Not happy with product quality,RVP,Textured Travel Bag,https://assets.ajio.com/medias/sys_master/root/20220530/2vJH/6294ac28f997dd03e245a80b/-462364273-brown-MODEL.jpg
