Return Order No,Cust Return Created Date,JioCode,SELLER_SKU,EAN,Category,Brand,Return QTY,Return Value,Return Reason,Return Sub reason,Return type,Listing Name,Image URL
RT116485238,Mon Jun 19 19:41:59 IST 2023,463084566001,LWDB214103,8905471600488,Men-Sports & Utility Bag,LEATHER WORLD,1,687.0,Size/Colour Issue,Want to change style color,RVP,Colourblock Duffel Bag with Detachable Strap,https://assets.ajio.com/medias/sys_master/root/20230620/An8L/6491ee9342f9e729d755f2df/-463084566-green-MODEL.jpg
RT116415640,Mon Jun 19 18:36:49 IST 2023,462418282001,LWOB19201082,8905372589615,Men-Laptop Bags,LEATHER WORLD,1,882.0,Did not like the product,Not happy with product quality,RVP,Laptop Bag with Detachable Strap,https://assets.ajio.com/medias/sys_master/root/20220530/jaJy/6294ac41aeb26921aff33a0b/-462418282-black-MODEL.jpg
RT116408655,Mon Jun 19 18:03:39 IST 2023,462364273001,LWDB19204061,8905371649235,Men-Travel Bags,LEATHER WORLD,1,893.0,Did not like the product,Does not look good on me,RVP,Textured Travel Bag,https://assets.ajio.com/medias/sys_master/root/20230602/F5xX/64797f5942f9e729d715db15/-462364273-brown-MODEL.jpg
RT116401675,Mon Jun 19 17:26:00 IST 2023,462314114001,LWOB16171124,8905371649129,Men-Laptop Bags,LEATHER WORLD,1,878.0,Did not like the product,Does not look good on me,RVP,Textured Laptop Bag with Detachable Strap,https://assets.ajio.com/medias/sys_master/root/20230602/RB1N/64797fe342f9e729d715edfc/-462314114-brown-MODEL.jpg
RT116427038,Mon Jun 19 16:37:45 IST 2023,462365249001,LWOB16171125,8905371649112,Men-Laptop Bags,LEATHER WORLD,1,878.0,Did not like the product,Does not look good on me,RVP,Textured Laptop Bag,https://assets.ajio.com/medias/sys_master/root/20230602/LtZr/64799688d55b7d0c63430c46/-462365249-brown-MODEL.jpg
RT116412285,Mon Jun 19 16:37:27 IST 2023,462462240001,LWWC16176115,8905372446048,Home & Kitchen-Stationery & Organisers,LEATHER WORLD,1,721.0,Others,Ordered by mistake,RVP,Unisex 10 Slots Watch Organiser Box,https://assets.ajio.com/medias/sys_master/root/20230602/Big9/6479917bd55b7d0c6342555a/-462462240-blue-MODEL.jpg
RT116390424,Mon Jun 19 14:49:24 IST 2023,462519756001,LWBP20213016,8905372049171,Men-Fashion Bags,FLY FASHION,1,475.0,Wrong Item Shipped ,Different product delivered,RVP,Classic Sling Bag with Zip Closure,https://assets.ajio.com/medias/sys_master/root/20230602/0whN/6479a39c42f9e729d71ab7b0/-462519756-black-MODEL.jpg
RT116399193,Mon Jun 19 14:46:10 IST 2023,462462229001,LWWC16176104,8905372446116,Home & Kitchen-Stationery & Organisers,LEATHER WORLD,1,611.0,Defective/Damage Product received,Received damaged,RVP,Unisex 8 Slots Watch Organiser Box,https://assets.ajio.com/medias/sys_master/root/20230602/wP3U/6479865a42f9e729d716d5d3/-462462229-blue-MODEL.jpg
RT116382373,Mon Jun 19 13:55:36 IST 2023,462421213001,LWHK2020106,8905372938703,Men-Backpacks,LEATHER WORLD,1,630.0,Did not like the product,Not happy with product quality,RVP,Typographic Print Rucksack ,https://assets.ajio.com/medias/sys_master/root/20230602/keX0/6479a07142f9e729d71a546a/-462421213-multi-MODEL.jpg
RT116390242,Mon Jun 19 13:54:54 IST 2023,462389061001,LWBP19203068,8905372938796,Men-Backpacks,LEATHER WORLD,1,702.0,Defective/Damage Product received,Received damaged,RVP,Textured Travel Back Pack with Adjustable Strap,https://assets.ajio.com/medias/sys_master/root/20230602/1JKA/64799eccd55b7d0c634427c1/-462389061-multi-MODEL.jpg
RT116369731,Mon Jun 19 13:48:43 IST 2023,462218354001,LWSB20213009,8905370901723,Men-Fashion Bags,LEATHER WORLD,1,595.0,Did not like the product,Does not look good on me,RVP,Leather Messenger Bag with Adjustable Strap,https://assets.ajio.com/medias/sys_master/root/20230602/7p8b/64798144d55b7d0c634017c1/-462218354-brown-MODEL.jpg
RT116381423,Mon Jun 19 13:40:33 IST 2023,462329286001,LWOB16171120,8905371649167,Men-Laptop Bags,LEATHER WORLD,1,733.0,Wrong Item Shipped ,Wrong color delivered,RVP,Textured Laptop Bag,https://assets.ajio.com/medias/sys_master/root/20230602/kgBa/64797fad42f9e729d715e67d/-462329286-black-MODEL.jpg
RT116370609,Mon Jun 19 13:01:40 IST 2023,462519833001,LWBP20213011,8905372049225,Men-Fashion Bags,FLY FASHION,1,580.0,Size/Colour Issue,Size is smaller than expected,RVP,Textured Classic Sling Bag,https://assets.ajio.com/medias/sys_master/root/20230602/hfNP/647986f2d55b7d0c6340e6ce/-462519833-silver-MODEL.jpg
RT116379290,Mon Jun 19 12:44:13 IST 2023,462587916003,FLYOB202105,8905468485678,Men-Laptop Bags,FLY FASHION,1,553.0,Wrong Item Shipped ,Different product delivered,RVP, Laptop Bag with Detachable Strap,https://assets.ajio.com/medias/sys_master/root/20220530/gl1Z/6294acb9aeb26921aff34911/-462587916-black-MODEL.jpg
RT116349914,Mon Jun 19 11:56:32 IST 2023,462363902001,LWDB19204062,8905371649297,Men-Travel Bags,LEATHER WORLD,1,848.0,Size/Colour Issue,Size is smaller than expected,RVP,Duffle Bag with Adjustable Strap,https://assets.ajio.com/medias/sys_master/root/20230602/4GcU/64799a1ad55b7d0c63438e98/-462363902-brown-MODEL.jpg
RT116355389,Mon Jun 19 09:20:07 IST 2023,462328890001,LWDB19204060,8905371649242,Men-Travel Bags,LEATHER WORLD,1,893.0,Size/Colour Issue,Size is smaller than expected,RVP,Textured Travel Bag with Adjustable Strap,https://assets.ajio.com/medias/sys_master/root/20230602/Djh1/6479634542f9e729d712c11e/-462328890-black-MODEL.jpg
RT116330883,Mon Jun 19 06:22:58 IST 2023,462389061001,LWBP19203068,8905372938796,Men-Backpacks,LEATHER WORLD,1,702.0,Did not like the product,Not happy with product quality,RVP,Textured Travel Back Pack with Adjustable Strap,https://assets.ajio.com/medias/sys_master/root/20230602/1JKA/64799eccd55b7d0c634427c1/-462389061-multi-MODEL.jpg
